Occupation code,Occupation title ,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
00-0000,All Occupations,total,"144,733,270",0.1%,1000.000,$18.58,$24.98,"$51,960",0.1%
11-0000,Management Occupations,major,"7,616,650",0.2%,52.625,$50.11,$58.44,"$121,560",0.1%
11-1000,Top Executives,minor,"2,535,640",0.3%,17.519,$49.73,$61.66,"$128,240",0.2%
11-1011,Chief Executives,detail,"195,530",0.7%,1.351,$91.15,$96.22,"$200,140",0.5%
11-1021,General and Operations Managers,detail,"2,289,770",0.3%,15.821,$48.52,$59.56,"$123,880",0.2%
11-1031,Legislators,detail,"50,330",2.3%,0.348,(4),(4),"$47,620",1.5%
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"717,220",0.5%,4.955,$60.70,$68.03,"$141,500",0.3%
11-2011,Advertising and Promotions Managers,detail,"25,260",3.0%,0.175,$56.31,$63.99,"$133,090",1.3%
11-2020,Marketing and Sales Managers,broad,"619,500",0.6%,4.280,$61.59,$68.75,"$143,000",0.3%
11-2021,Marketing Managers,detail,"240,440",0.8%,1.661,$64.56,$70.79,"$147,240",0.4%
11-2022,Sales Managers,detail,"379,050",0.6%,2.619,$59.72,$67.46,"$140,320",0.3%
11-2031,Public Relations and Fundraising Managers,detail,"72,460",1.1%,0.501,$55.19,$63.26,"$131,570",0.7%
11-3000,Operations Specialties Managers,minor,"1,853,660",0.3%,12.807,$57.01,$63.79,"$132,680",0.2%
11-3011,Administrative Services Managers,detail,"283,570",0.5%,1.959,$46.24,$50.99,"$106,050",0.3%
11-3021,Computer and Information Systems Managers,detail,"391,430",0.7%,2.704,$68.53,$73.49,"$152,860",0.4%
11-3031,Financial Managers,detail,"608,120",0.6%,4.202,$61.53,$70.59,"$146,830",0.4%
11-3051,Industrial Production Managers,detail,"181,310",0.7%,1.253,$49.70,$54.51,"$113,370",0.3%
11-3061,Purchasing Managers,detail,"69,490",0.8%,0.480,$57.18,$60.40,"$125,630",0.4%
11-3071,"Transportation, Storage, and Distribution Managers",detail,"124,810",1.0%,0.862,$45.54,$49.45,"$102,850",0.4%
11-3111,Compensation and Benefits Managers,detail,"15,660",1.5%,0.108,$58.18,$63.87,"$132,860",0.8%
11-3121,Human Resources Managers,detail,"143,580",0.6%,0.992,$54.47,$60.91,"$126,700",0.4%
11-3131,Training and Development Managers,detail,"35,690",1.2%,0.247,$53.53,$58.53,"$121,730",0.5%
11-9000,Other Management Occupations,minor,"2,510,140",0.3%,17.343,$43.33,$48.51,"$100,900",0.2%
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detail,"4,770",5.4%,0.033,$32.67,$38.43,"$79,940",2.7%
11-9021,Construction Managers,detail,"278,460",0.9%,1.924,$44.89,$49.57,"$103,110",0.4%
11-9030,Education Administrators,broad,"498,200",0.6%,3.442,$43.30,$46.65,"$97,030",0.5%
11-9031,"Education Administrators, Preschool and Childcare Center/Program",detail,"50,650",1.6%,0.350,$23.05,$25.96,"$53,990",1.0%
11-9032,"Education Administrators, Elementary and Secondary School",detail,"263,120",0.8%,1.818,(4),(4),"$98,750",0.6%
11-9033,"Education Administrators, Postsecondary",detail,"143,430",1.3%,0.991,$45.36,$53.47,"$111,210",0.8%
11-9039,"Education Administrators, All Other",detail,"41,000",1.6%,0.283,$39.83,$43.06,"$89,570",0.9%
11-9041,Architectural and Engineering Managers,detail,"188,290",0.9%,1.301,$67.67,$71.62,"$148,970",0.4%
11-9051,Food Service Managers,detail,"219,160",1.7%,1.514,$26.08,$28.35,"$58,960",0.6%
11-9061,Funeral Service Managers,detail,"8,400",4.0%,0.058,$38.07,$45.11,"$93,820",2.8%
11-9071,Gaming Managers,detail,"4,300",3.9%,0.030,$35.91,$40.99,"$85,260",1.1%
11-9081,Lodging Managers,detail,"37,050",2.5%,0.256,$25.67,$29.94,"$62,270",1.0%
11-9111,Medical and Health Services Managers,detail,"372,670",0.6%,2.575,$47.95,$54.68,"$113,730",0.4%
11-9121,Natural Sciences Managers,detail,"60,260",2.0%,0.416,$59.55,$67.16,"$139,680",1.1%
11-9131,Postmasters and Mail Superintendents,detail,"13,770",0.3%,0.095,$36.52,$37.04,"$77,040",0.1%
11-9141,"Property, Real Estate, and Community Association Managers",detail,"202,550",1.3%,1.399,$28.05,$34.49,"$71,730",0.9%
11-9151,Social and Community Service Managers,detail,"149,870",1.2%,1.036,$31.41,$34.46,"$71,670",0.5%
11-9161,Emergency Management Directors,detail,"9,550",1.8%,0.066,$35.78,$39.70,"$82,570",0.8%
11-9199,"Managers, All Other",detail,"462,840",0.6%,3.198,$51.67,$55.57,"$115,590",0.3%
13-0000,Business and Financial Operations Occupations,major,"7,721,300",0.3%,53.348,$32.86,$36.98,"$76,910",0.2%
13-1000,Business Operations Specialists,minor,"5,022,640",0.3%,34.703,$32.27,$35.52,"$73,890",0.2%
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detail,"14,830",4.4%,0.102,$31.75,$43.72,"$90,930",3.8%
13-1020,Buyers and Purchasing Agents,broad,"407,410",0.7%,2.815,$30.17,$32.47,"$67,530",0.2%
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"302,930",1.4%,2.093,$31.57,$32.42,"$67,440",0.6%
13-1031,"Claims Adjusters, Examiners, and Investigators",detail,"287,730",1.4%,1.988,$31.68,$32.47,"$67,540",0.6%
13-1032,"Insurance Appraisers, Auto Damage",detail,"15,200",5.0%,0.105,$30.06,$31.50,"$65,510",0.9%
13-1041,Compliance Officers,detail,"300,900",0.8%,2.079,$33.10,$34.86,"$72,520",0.5%
